Official names for Earthbound control codes

[00]    linebreak                            -> ↓
[1F E9] unfreeze_npc(npc)                    -> @FRESH_CHAR(npc)
[1F EA] unfreeze_sprite(spr)                 -> @FRESH_GOM_CHAR(spr)
[1F EB] hide_char(pc, style)                 -> @HIDE_PLAYER(pc, style)
[1F EC] show_char(pc, style)                 -> @SHOW_PLAYER(pc, style)
[1F ED] camera_restore                       -> @SET_CAMERA_PARTY()
[1F EE] camera_focus_npc(npc)                -> @SET_CAMERA_CHAR(npc)
[1F EF] camera_focus_sprite(spr)             -> @SET_CAMERA_GOM_CHAR(spr)
[1F F0] get_on_bike                          -> @RIDE_CYCLE()
[1F F1] set_npc_movement(npc, scr)           -> @REMOVE_CHAR(npc, scr)
[1F F2] set_sprite_movement(spr, scr)        -> @REMOVE_GOM_CHAR(spr, scr)
[1F F3] show_sprite_emote(spr, emotenum)     -> @SHOW_MANPU_GOM_CHAR(spr, emotenum)
[1F F4] delete_sprite_emote(spr)             -> @HIDE_MANPU_GOM_CHAR(spr)
